127509,Inverter Status
127510,Charger Configuration Status
127511,Inverter Configuration Status
127512,AGS Configuration Status
127513,Battery Configuration Status
127514,AGS Status
128000,Leeway Angle
128259,Speed
128267,Water Depth
128275,Distance Log
128520,Tracked Target Data
129025,Position, Rapid Update
129026,COG & SOG, Rapid Update
129027,Position Delta, Rapid Update
129028,Altitude Delta, Rapid Update
129029,GNSS Position Data
129033,Time & Date
129038,AIS Class A Position Report
129039,AIS Class B Position Report
129040,AIS Class B Extended Position Report
129041,AIS Aids to Navigation (AtoN) Report
129044,Datum
129045,User Datum
129283,Cross Track Error
129284,Navigation Data
129285,Navigation - Route/WP Information
129291,Set & Drift, Rapid Update
129301,Navigation - Route / Time to+from Mark
129302,Bearing and Distance between two Marks
129538,GNSS Control Status
129539,GNSS DOPs
129540,GNSS Sats in View
129541,GPS Almanac Data
129542,GNSS Pseudorange Noise Statistics
129545,GNSS RAIM Output
129546,GNSS RAIM Settings
129547,GNSS Pseudorange Error Statistics
129549,DGNSS Corrections
129550,GNSS Differential Correction Receiver Interface
129551,GNSS Differential Correction Receiver Signal
129556,GLONASS Almanac Data
129792,AIS DGNSS Broadcast Binary Message
129793,AIS UTC and Date Report
129794,AIS Class A Static and Voyage Related Data
129795,AIS Addressed Binary Message
129796,AIS Acknowledge
129797,AIS Binary Broadcast Message
129798,AIS SAR Aircraft Position Report
129799,Radio Frequency/Mode/Power
129800,AIS UTC/Date Inquiry
129801,AIS Addressed Safety Related Message
129802,AIS Safety Related Broadcast Message
129803,AIS Interrogation
129804,AIS Assignment Mode Command
129805,AIS Data Link Management Message
129806,AIS Channel Management
129807,AIS Class B Group Assignment
129808,DSC Call Information
129809,AIS Class B static data (msg 24 Part A)
129810,AIS Class B static data (msg 24 Part B)
130060,Label
130061,Channel Source Configuration
130064,Route and WP Service - Database List
130065,Route and WP Service - Route List
130066,Route and WP Service - Route/WP-List Attributes
130067,Route and WP Service - Route - WP Name & Position
130068,Route and WP Service - Route - WP Name
130069,Route and WP Service - XTE Limit & Navigation Method
130070,Route and WP Service - WP Comment
130071,Route and WP Service - Route Comment
130072,Route and WP Service - Database Comment
130073,Route and WP Service - Radius of Turn
130074,Route and WP Service - WP List - WP Name & Position
130306,Wind Data
130310,Environmental Parameters
130311,Environmental Parameters
130312,Temperature
130313,Humidity
130314,Actual Pressure
130315,Set Pressure
130316,Temperature Extended Range
130320,Tide Station Data
130321,Salinity Station Data
130322,Current Station Data
130323,Meteorological Station Data
130324,Moored Buoy Station Data
130560,Payload Mass
130567,Watermaker Input Setting and Status
130570,Library Data File
130571,Library Data Group
130572,Library Data Search
130573,Supported Source Data
130574,Supported Zone Data
130576,Small Craft Status
130577,Direction Data
130578,Vessel Speed Components
130579,System Configuration
130580,System Configuration (deprecated)
130581,Zone Configuration (deprecated)
130582,Zone Volume
130583,Available Audio EQ presets
130584,Available Bluetooth addresses
130585,Bluetooth source status
130586,Zone Configuration
130816,Manufacturer Proprietary fast-packet non-addressed
130817,Navico: Product Information
130818,Simnet: Reprogram Data
130819,Simnet: Request Reprogram
130820,Fusion: SiriusXM Genre
130821,Furuno: Unknown
130824,Maretron: Annunciator
130827,Lowrance: unknown
130828,Simnet: Set Serial Number
130831,Suzuki: Engine and Storage Device Config
130832,Simnet: Fuel Used - High Resolution
130834,Simnet: Engine and Tank Configuration
130835,Simnet: Set Engine and Tank Configuration
130836,Simnet: Fluid Level Sensor Configuration
130837,Simnet: Fuel Flow Turbine Configuration
130838,Simnet: Fluid Level Warning
130839,Simnet: Pressure Sensor Configuration
130840,Simnet: Data User Group Configuration
130842,Simnet: AIS Class B static data (msg 24 Part B)
130843,Simnet: Sonar Status, Frequency and DSP Voltage
130845,Simnet: Parameter Handle
130847,SeaTalk: Node Statistics
130850,Simnet: Event Command: Unknown
130851,Simnet: Event Reply: AP command
130856,Simnet: Alarm Message
130880,Airmar: Additional Weather Data
130881,Airmar: Heater Control
130944,Airmar: POST
